地类,2000,2020,土地利用变化动态度（%）,,,面积单位都是km²,,,,
耕地,197434.85,175623.94,-0.552,,,,,,,
林地,96568.40,95837.20,-0.038,,,,,,,
草地,7510.06,7637.28,0.085,,,,,,,
灌木地,284.22,252.44,-0.559,,,,,,,
湿地,2257.73,1857.42,-0.887,,,,,,,
内陆水体,23418.87,25851.23,0.519,,,,,,,
建设用地,25518.98,47761.64,4.358,,,,,,,
裸地,50.37,57.81,0.738,,,,,,,
海域,5937.53,4102.06,-1.546,,,,,,,
总计,358981.01,358981.01,0.000,,,,,,,
,,,,,,,,,,
,,2020,,,,,,,,
,地类,耕地,林地,草地,灌木地,湿地,内陆水体,建设用地,裸地,海域
2000,耕地,160544.26,5423.80,1457.86,20.66,197.81,5651.76,24110.79,12.25,15.67
,林地,4593.95,87816.77,2150.95,107.69,55.19,932.78,871.89,4.31,34.87
,草地,939.55,2077.49,3618.51,10.98,54.86,210.26,567.92,5.96,24.52
,灌木地,19.63,129.91,12.34,111.04,,4.44,6.60,0.26,
,湿地,484.25,35.23,50.35,0.21,525.72,906.19,204.71,5.75,45.33
,内陆水体,4064.64,210.36,175.46,1.16,611.67,17218.57,1049.21,10.85,76.95
,建设用地,4732.82,110.48,125.66,0.69,7.74,253.76,20285.73,0.27,1.83
,裸地,5.13,1.13,2.63,,0.01,21.72,1.60,18.16,
,海域,239.72,32.04,43.52,,404.42,651.76,663.18,,3902.89
